accession	description
"GCA_017433295.1"	"ASM1743329v1 assembly for Eubacterium sp."
"GCA_017433305.1"	"ASM1743330v1 assembly for Oscillospiraceae bacterium"
"GCA_017433345.1"	"ASM1743334v1 assembly for Lachnospiraceae bacterium"
"GCA_017433365.1"	"ASM1743336v1 assembly for Lachnospiraceae bacterium"
"GCA_017433375.1"	"ASM1743337v1 assembly for Bacillota bacterium"
"GCA_017433405.1"	"ASM1743340v1 assembly for Clostridia bacterium"
"GCA_017433415.1"	"ASM1743341v1 assembly for Bacilli bacterium"
"GCA_017433445.1"	"ASM1743344v1 assembly for Ruminococcus sp."
"GCA_017433465.1"	"ASM1743346v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017433485.1"	"ASM1743348v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017433505.1"	"ASM1743350v1 assembly for Atopobiaceae bacterium"
"GCA_017433515.1"	"ASM1743351v1 assembly for Anaerolineaceae bacterium"
"GCA_017433545.1"	"ASM1743354v1 assembly for Atopobiaceae bacterium"
"GCA_017433555.1"	"ASM1743355v1 assembly for Atopobiaceae bacterium"
"GCA_017433575.1"	"ASM1743357v1 assembly for Oscillospiraceae bacterium"
"GCA_017433605.1"	"ASM1743360v1 assembly for Mogibacterium sp."
"GCA_017433615.1"	"ASM1743361v1 assembly for Eubacterium sp."
"GCA_017433645.1"	"ASM1743364v1 assembly for Clostridia bacterium"
"GCA_017433705.1"	"ASM1743370v1 assembly for Oscillospiraceae bacterium"
"GCA_017433725.1"	"ASM1743372v1 assembly for Lachnospiraceae bacterium"
"GCA_017433735.1"	"ASM1743373v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017433785.1"	"ASM1743378v1 assembly for Rudaea sp."
"GCA_017433805.1"	"ASM1743380v1 assembly for Butyrivibrio sp."
"GCA_017433825.1"	"ASM1743382v1 assembly for Eubacterium sp."
"GCA_017443715.1"	"ASM1744371v1 assembly for Campylobacter sp."
"GCA_017443745.1"	"ASM1744374v1 assembly for Oscillibacter sp."
"GCA_017443765.1"	"ASM1744376v1 assembly for Muribaculaceae bacterium"
"GCA_017443785.1"	"ASM1744378v1 assembly for Oscillospiraceae bacterium"
"GCA_017443795.1"	"ASM1744379v1 assembly for Bacteroidaceae bacterium"
"GCA_017443805.1"	"ASM1744380v1 assembly for Clostridia bacterium"
"GCA_017443845.1"	"ASM1744384v1 assembly for Bacteroidales bacterium"
"GCA_017443865.1"	"ASM1744386v1 assembly for Synergistaceae bacterium"
"GCA_017443885.1"	"ASM1744388v1 assembly for Clostridia bacterium"
"GCA_017443895.1"	"ASM1744389v1 assembly for Clostridia bacterium"
"GCA_017443925.1"	"ASM1744392v1 assembly for Lachnospiraceae bacterium"
"GCA_017443945.1"	"ASM1744394v1 assembly for Synergistaceae bacterium"
"GCA_017443965.1"	"ASM1744396v1 assembly for Oscillospiraceae bacterium"
"GCA_017443985.1"	"ASM1744398v1 assembly for Synergistaceae bacterium"
"GCA_017444005.1"	"ASM1744400v1 assembly for Bacteroidaceae bacterium"
"GCA_017444015.1"	"ASM1744401v1 assembly for Lachnospiraceae bacterium"
"GCA_017444045.1"	"ASM1744404v1 assembly for bacterium"
"GCA_017444065.1"	"ASM1744406v1 assembly for Paludibacteraceae bacterium"
"GCA_017444085.1"	"ASM1744408v1 assembly for Bacteroidaceae bacterium"
"GCA_017444095.1"	"ASM1744409v1 assembly for Rickettsiales bacterium"
"GCA_017444125.1"	"ASM1744412v1 assembly for Rickettsiales bacterium"
"GCA_017444145.1"	"ASM1744414v1 assembly for Bacteroidaceae bacterium"
"GCA_017444165.1"	"ASM1744416v1 assembly for bacterium"
"GCA_017444185.1"	"ASM1744418v1 assembly for Abditibacteriota bacterium"
"GCA_017444195.1"	"ASM1744419v1 assembly for Oscillospiraceae bacterium"
"GCA_017444215.1"	"ASM1744421v1 assembly for Alphaproteobacteria bacterium"
"GCA_017444245.1"	"ASM1744424v1 assembly for Selenomonadaceae bacterium"
"GCA_017444265.1"	"ASM1744426v1 assembly for Bacteroidales bacterium"
"GCA_017444285.1"	"ASM1744428v1 assembly for Lachnospiraceae bacterium"
"GCA_017444295.1"	"ASM1744429v1 assembly for Selenomonadaceae bacterium"
"GCA_017444325.1"	"ASM1744432v1 assembly for bacterium"
"GCA_017444895.1"	"ASM1744489v1 assembly for Clostridia bacterium"
"GCA_017444915.1"	"ASM1744491v1 assembly for Clostridia bacterium"
"GCA_017445015.1"	"ASM1744501v1 assembly for Bacteroidales bacterium"
"GCA_017445025.1"	"ASM1744502v1 assembly for Abditibacteriota bacterium"
"GCA_017445035.1"	"ASM1744503v1 assembly for Bacteroidaceae bacterium"
"GCA_017445085.1"	"ASM1744508v1 assembly for Clostridia bacterium"
"GCA_017445265.1"	"ASM1744526v1 assembly for Synergistaceae bacterium"
"GCA_017445275.1"	"ASM1744527v1 assembly for Kiritimatiellia bacterium"
"GCA_017445305.1"	"ASM1744530v1 assembly for Alphaproteobacteria bacterium"
"GCA_017445315.1"	"ASM1744531v1 assembly for Bacillota bacterium"
"GCA_017445345.1"	"ASM1744534v1 assembly for Bacillota bacterium"
"GCA_017445365.1"	"ASM1744536v1 assembly for Kiritimatiellia bacterium"
"GCA_017445385.1"	"ASM1744538v1 assembly for Oscillospiraceae bacterium"
"GCA_017445425.1"	"ASM1744542v1 assembly for Bacteroidales bacterium"
"GCA_017445435.1"	"ASM1744543v1 assembly for Selenomonadaceae bacterium"
"GCA_017448735.1"	"ASM1744873v1 assembly for Treponema sp."
"GCA_017448745.1"	"ASM1744874v1 assembly for Campylobacter sp."
"GCA_017448785.1"	"ASM1744878v1 assembly for Synergistaceae bacterium"
"GCA_017448795.1"	"ASM1744879v1 assembly for Synergistaceae bacterium"
"GCA_017448825.1"	"ASM1744882v1 assembly for Bacteroidaceae bacterium"
"GCA_017448845.1"	"ASM1744884v1 assembly for Lachnospiraceae bacterium"
"GCA_017448905.1"	"ASM1744890v1 assembly for Bacteroidales bacterium"
"GCA_017448925.1"	"ASM1744892v1 assembly for Paludibacteraceae bacterium"
"GCA_017448945.1"	"ASM1744894v1 assembly for Bacteroidales bacterium"
"GCA_017448965.1"	"ASM1744896v1 assembly for Bacteroidaceae bacterium"
"GCA_017449045.1"	"ASM1744904v1 assembly for Bacteroidales bacterium"
"GCA_017449065.1"	"ASM1744906v1 assembly for Bacteroidales bacterium"
"GCA_017449075.1"	"ASM1744907v1 assembly for Lachnospiraceae bacterium"
"GCA_017449105.1"	"ASM1744910v1 assembly for Selenomonadaceae bacterium"
"GCA_017449125.1"	"ASM1744912v1 assembly for Bacteroidales bacterium"
"GCA_017449135.1"	"ASM1744913v1 assembly for Synergistaceae bacterium"
"GCA_017449165.1"	"ASM1744916v1 assembly for Kiritimatiellia bacterium"
"GCA_017449185.1"	"ASM1744918v1 assembly for Oscillospiraceae bacterium"
"GCA_017449205.1"	"ASM1744920v1 assembly for Oscillospiraceae bacterium"
"GCA_017449215.1"	"ASM1744921v1 assembly for Acholeplasmatales bacterium"
"GCA_017449265.1"	"ASM1744926v1 assembly for Treponema sp."
"GCA_017453145.1"	"ASM1745314v1 assembly for Clostridia bacterium"
"GCA_017453165.1"	"ASM1745316v1 assembly for Clostridia bacterium"
"GCA_017453185.1"	"ASM1745318v1 assembly for Spirochaetaceae bacterium"
"GCA_017453305.1"	"ASM1745330v1 assembly for Clostridia bacterium"
"GCA_017453325.1"	"ASM1745332v1 assembly for Clostridia bacterium"
"GCA_017453335.1"	"ASM1745333v1 assembly for Clostridia bacterium"
"GCA_017453365.1"	"ASM1745336v1 assembly for Clostridia bacterium"
"GCA_017453385.1"	"ASM1745338v1 assembly for Clostridia bacterium"
"GCA_017453405.1"	"ASM1745340v1 assembly for Clostridia bacterium"
"GCA_017455205.1"	"ASM1745520v1 assembly for Bacteroidales bacterium"
"GCA_017455215.1"	"ASM1745521v1 assembly for Bacteroidales bacterium"
"GCA_017455225.1"	"ASM1745522v1 assembly for Oscillospiraceae bacterium"
"GCA_017455285.1"	"ASM1745528v1 assembly for Synergistaceae bacterium"
"GCA_017455295.1"	"ASM1745529v1 assembly for Clostridia bacterium"
"GCA_017455315.1"	"ASM1745531v1 assembly for Clostridia bacterium"
"GCA_017455345.1"	"ASM1745534v1 assembly for Bacteroidales bacterium"
"GCA_017455465.1"	"ASM1745546v1 assembly for Selenomonas sp."
"GCA_017455705.1"	"ASM1745570v1 assembly for Clostridia bacterium"
"GCA_017455725.1"	"ASM1745572v1 assembly for Synergistaceae bacterium"
"GCA_017455745.1"	"ASM1745574v1 assembly for Desulfovibrionaceae bacterium"
"GCA_017455765.1"	"ASM1745576v1 assembly for Selenomonadaceae bacterium"
"GCA_017455785.1"	"ASM1745578v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017455795.1"	"ASM1745579v1 assembly for Clostridia bacterium"
"GCA_017455825.1"	"ASM1745582v1 assembly for Prevotella sp."
"GCA_017455845.1"	"ASM1745584v1 assembly for Prevotella sp."
"GCA_017459485.1"	"ASM1745948v1 assembly for Eggerthellaceae bacterium"
"GCA_017459505.1"	"ASM1745950v1 assembly for Solobacterium sp."
"GCA_017459575.1"	"ASM1745957v1 assembly for Lachnospiraceae bacterium"
"GCA_017459605.1"	"ASM1745960v1 assembly for Atopobiaceae bacterium"
"GCA_017459635.1"	"ASM1745963v1 assembly for Blautia sp."
"GCA_017459665.1"	"ASM1745966v1 assembly for Methanobrevibacter sp."
"GCA_017459675.1"	"ASM1745967v1 assembly for Eubacterium sp."
"GCA_017459705.1"	"ASM1745970v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017459725.1"	"ASM1745972v1 assembly for Solobacterium sp."
"GCA_017459795.1"	"ASM1745979v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017459805.1"	"ASM1745980v1 assembly for Eggerthellaceae bacterium"
"GCA_017459865.1"	"ASM1745986v1 assembly for Oscillospiraceae bacterium"
"GCA_017465035.1"	"ASM1746503v1 assembly for Bacilli bacterium"
"GCA_017465055.1"	"ASM1746505v1 assembly for Alistipes sp."
"GCA_017465085.1"	"ASM1746508v1 assembly for Clostridia bacterium"
"GCA_017476885.1"	"ASM1747688v1 assembly for Bacilli bacterium"
"GCA_017481065.1"	"ASM1748106v1 assembly for Clostridia bacterium"
"GCA_017481685.1"	"ASM1748168v1 assembly for Alphaproteobacteria bacterium"
"GCA_017481725.1"	"ASM1748172v1 assembly for Kiritimatiellia bacterium"
"GCA_017481735.1"	"ASM1748173v1 assembly for Bacillota bacterium"
"GCA_017481745.1"	"ASM1748174v1 assembly for Bacteroidaceae bacterium"
"GCA_017481805.1"	"ASM1748180v1 assembly for Spirochaetaceae bacterium"
"GCA_017481825.1"	"ASM1748182v1 assembly for Clostridia bacterium"
"GCA_017481845.1"	"ASM1748184v1 assembly for Alistipes sp."
"GCA_017481865.1"	"ASM1748186v1 assembly for Clostridia bacterium"
"GCA_017481875.1"	"ASM1748187v1 assembly for Bacteroidaceae bacterium"
"GCA_017481885.1"	"ASM1748188v1 assembly for Ruminococcus sp."
"GCA_017481925.1"	"ASM1748192v1 assembly for Alistipes sp."
"GCA_017481945.1"	"ASM1748194v1 assembly for Parabacteroides sp."
"GCA_017482035.1"	"ASM1748203v1 assembly for Clostridia bacterium"
"GCA_017482045.1"	"ASM1748204v1 assembly for Lachnospiraceae bacterium"
"GCA_017482055.1"	"ASM1748205v1 assembly for Clostridia bacterium"
"GCA_017482125.1"	"ASM1748212v1 assembly for bacterium"
"GCA_017482185.1"	"ASM1748218v1 assembly for Oscillospiraceae bacterium"
"GCA_017482195.1"	"ASM1748219v1 assembly for Clostridia bacterium"
"GCA_017482345.1"	"ASM1748234v1 assembly for Oscillibacter sp."
"GCA_017483675.1"	"ASM1748367v1 assembly for Treponema sp."
"GCA_017483785.1"	"ASM1748378v1 assembly for Prevotella sp."
"GCA_017483805.1"	"ASM1748380v1 assembly for Prevotella sp."
"GCA_017483825.1"	"ASM1748382v1 assembly for Alloprevotella sp."
"GCA_017483845.1"	"ASM1748384v1 assembly for Synergistaceae bacterium"
"GCA_017483905.1"	"ASM1748390v1 assembly for Bacillota bacterium"
"GCA_017483925.1"	"ASM1748392v1 assembly for Prevotella sp."
"GCA_017483935.1"	"ASM1748393v1 assembly for Prevotella sp."
"GCA_017501825.1"	"ASM1750182v1 assembly for Oscillospiraceae bacterium"
"GCA_017501845.1"	"ASM1750184v1 assembly for Clostridia bacterium"
"GCA_017501865.1"	"ASM1750186v1 assembly for Clostridia bacterium"
"GCA_017501945.1"	"ASM1750194v1 assembly for Bacteroidaceae bacterium"
"GCA_017501965.1"	"ASM1750196v1 assembly for Bacteroidales bacterium"
"GCA_017502065.1"	"ASM1750206v1 assembly for Clostridia bacterium"
"GCA_017502085.1"	"ASM1750208v1 assembly for Clostridia bacterium"
"GCA_017502135.1"	"ASM1750213v1 assembly for Clostridia bacterium"
"GCA_017502205.1"	"ASM1750220v1 assembly for Clostridia bacterium"
"GCA_017502235.1"	"ASM1750223v1 assembly for Clostridia bacterium"
"GCA_017502265.1"	"ASM1750226v1 assembly for Oscillospiraceae bacterium"
"GCA_017502285.1"	"ASM1750228v1 assembly for Oscillospiraceae bacterium"
"GCA_017502305.1"	"ASM1750230v1 assembly for Clostridia bacterium"
"GCA_017502325.1"	"ASM1750232v1 assembly for Lentisphaeria bacterium"
"GCA_017502365.1"	"ASM1750236v1 assembly for Clostridia bacterium"
"GCA_017502755.1"	"ASM1750275v1 assembly for Oscillospiraceae bacterium"
"GCA_017502785.1"	"ASM1750278v1 assembly for Clostridia bacterium"
"GCA_017502805.1"	"ASM1750280v1 assembly for Clostridia bacterium"
"GCA_017505535.1"	"ASM1750553v1 assembly for Muribaculaceae bacterium"
"GCA_017505585.1"	"ASM1750558v1 assembly for bacterium"
"GCA_017505625.1"	"ASM1750562v1 assembly for Clostridia bacterium"
"GCA_017505665.1"	"ASM1750566v1 assembly for Bacteroidales bacterium"
"GCA_017505725.1"	"ASM1750572v1 assembly for Alistipes sp."
"GCA_017505735.1"	"ASM1750573v1 assembly for Lachnospiraceae bacterium"
"GCA_017505785.1"	"ASM1750578v1 assembly for Clostridia bacterium"
"GCA_017505835.1"	"ASM1750583v1 assembly for Alistipes sp."
"GCA_017505905.1"	"ASM1750590v1 assembly for Clostridia bacterium"
"GCA_017505955.1"	"ASM1750595v1 assembly for Mycoplasmataceae bacterium"
"GCA_017506005.1"	"ASM1750600v1 assembly for Clostridia bacterium"
"GCA_017506045.1"	"ASM1750604v1 assembly for Akkermansia sp."
"GCA_017506065.1"	"ASM1750606v1 assembly for Thermoguttaceae bacterium"
"GCA_017506095.1"	"ASM1750609v1 assembly for Alistipes sp."
"GCA_017506165.1"	"ASM1750616v1 assembly for Bacillota bacterium"
"GCA_017506175.1"	"ASM1750617v1 assembly for Bacteroidales bacterium"
"GCA_017506205.1"	"ASM1750620v1 assembly for Akkermansia sp."
"GCA_017506215.1"	"ASM1750621v1 assembly for Prevotella sp."
"GCA_017506245.1"	"ASM1750624v1 assembly for Kiritimatiellia bacterium"
"GCA_017506265.1"	"ASM1750626v1 assembly for Oscillospiraceae bacterium"
"GCA_017506275.1"	"ASM1750627v1 assembly for Clostridia bacterium"
"GCA_017506305.1"	"ASM1750630v1 assembly for Fibrobacter sp."
"GCA_017506315.1"	"ASM1750631v1 assembly for Tidjanibacter sp."
"GCA_017506345.1"	"ASM1750634v1 assembly for Clostridia bacterium"
"GCA_017506365.1"	"ASM1750636v1 assembly for Fibrobacter sp."
"GCA_017506485.1"	"ASM1750648v1 assembly for Bacteroidales bacterium"
"GCA_017506545.1"	"ASM1750654v1 assembly for Phascolarctobacterium sp."
"GCA_017506585.1"	"ASM1750658v1 assembly for Campylobacter sp."
"GCA_017506625.1"	"ASM1750662v1 assembly for Campylobacter sp."
"GCA_017528465.1"	"ASM1752846v1 assembly for Paludibacteraceae bacterium"
"GCA_017528485.1"	"ASM1752848v1 assembly for Bacteroidaceae bacterium"
"GCA_017528515.1"	"ASM1752851v1 assembly for Bacteroidales bacterium"
"GCA_017528605.1"	"ASM1752860v1 assembly for Parasporobacterium sp."
"GCA_017528625.1"	"ASM1752862v1 assembly for Clostridia bacterium"
"GCA_017528675.1"	"ASM1752867v1 assembly for Oscillospiraceae bacterium"
"GCA_017528725.1"	"ASM1752872v1 assembly for Lachnospiraceae bacterium"
"GCA_017528765.1"	"ASM1752876v1 assembly for Victivallales bacterium"
"GCA_017528775.1"	"ASM1752877v1 assembly for Bacteroidaceae bacterium"
"GCA_017528805.1"	"ASM1752880v1 assembly for Clostridia bacterium"
"GCA_017528825.1"	"ASM1752882v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017528905.1"	"ASM1752890v1 assembly for Bacteroidaceae bacterium"
"GCA_017528925.1"	"ASM1752892v1 assembly for Lachnospiraceae bacterium"
"GCA_017528965.1"	"ASM1752896v1 assembly for Acholeplasmatales bacterium"
"GCA_017528985.1"	"ASM1752898v1 assembly for Lachnospiraceae bacterium"
"GCA_017529005.1"	"ASM1752900v1 assembly for Elusimicrobiota bacterium"
"GCA_017529665.1"	"ASM1752966v1 assembly for Lactococcus sp."
"GCA_017529725.1"	"ASM1752972v1 assembly for Prevotella sp."
"GCA_017529765.1"	"ASM1752976v1 assembly for Bacillota bacterium"
"GCA_017529805.1"	"ASM1752980v1 assembly for Neisseriaceae bacterium"
"GCA_017529825.1"	"ASM1752982v1 assembly for Bacteroidaceae bacterium"
"GCA_017529865.1"	"ASM1752986v1 assembly for Bacteroidaceae bacterium"
"GCA_017529875.1"	"ASM1752987v1 assembly for Ruminococcus sp."
"GCA_017529985.1"	"ASM1752998v1 assembly for Bacteroidales bacterium"
"GCA_017530065.1"	"ASM1753006v1 assembly for Clostridia bacterium"
"GCA_017531795.1"	"ASM1753179v1 assembly for Clostridia bacterium"
"GCA_017531805.1"	"ASM1753180v1 assembly for Clostridia bacterium"
"GCA_017531875.1"	"ASM1753187v1 assembly for Tidjanibacter sp."
"GCA_017531895.1"	"ASM1753189v1 assembly for Clostridia bacterium"
"GCA_017531925.1"	"ASM1753192v1 assembly for Clostridia bacterium"
"GCA_017531945.1"	"ASM1753194v1 assembly for Christensenellaceae bacterium"
"GCA_017531995.1"	"ASM1753199v1 assembly for Oscillospiraceae bacterium"
"GCA_017532025.1"	"ASM1753202v1 assembly for Clostridia bacterium"
"GCA_017532045.1"	"ASM1753204v1 assembly for Clostridia bacterium"
"GCA_017532065.1"	"ASM1753206v1 assembly for Oscillospiraceae bacterium"
"GCA_017532075.1"	"ASM1753207v1 assembly for Clostridia bacterium"
"GCA_017532085.1"	"ASM1753208v1 assembly for Oscillospiraceae bacterium"
"GCA_017532125.1"	"ASM1753212v1 assembly for Clostridia bacterium"
"GCA_017532145.1"	"ASM1753214v1 assembly for Lachnospiraceae bacterium"
"GCA_017532155.1"	"ASM1753215v1 assembly for Clostridia bacterium"
"GCA_017532185.1"	"ASM1753218v1 assembly for Clostridia bacterium"
"GCA_017532195.1"	"ASM1753219v1 assembly for Clostridia bacterium"
"GCA_017532215.1"	"ASM1753221v1 assembly for Clostridia bacterium"
"GCA_017532245.1"	"ASM1753224v1 assembly for Clostridia bacterium"
"GCA_017532305.1"	"ASM1753230v1 assembly for Bacteroidales bacterium"
"GCA_017532345.1"	"ASM1753234v1 assembly for Erysipelotrichales bacterium"
"GCA_017532355.1"	"ASM1753235v1 assembly for Oscillospiraceae bacterium"
"GCA_017532425.1"	"ASM1753242v1 assembly for Clostridia bacterium"
"GCA_017532435.1"	"ASM1753243v1 assembly for Bacillota bacterium"
"GCA_017532485.1"	"ASM1753248v1 assembly for Peptococcaceae bacterium"
"GCA_017532505.1"	"ASM1753250v1 assembly for Lentisphaeria bacterium"
"GCA_017532545.1"	"ASM1753254v1 assembly for Clostridia bacterium"
"GCA_017532665.1"	"ASM1753266v1 assembly for Alistipes sp."
"GCA_017532705.1"	"ASM1753270v1 assembly for Clostridia bacterium"
"GCA_017532745.1"	"ASM1753274v1 assembly for Clostridia bacterium"
"GCA_017535305.1"	"ASM1753530v1 assembly for Paludibacteraceae bacterium"
"GCA_017535315.1"	"ASM1753531v1 assembly for Victivallales bacterium"
"GCA_017535425.1"	"ASM1753542v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017535465.1"	"ASM1753546v1 assembly for Spirochaetales bacterium"
"GCA_017535485.1"	"ASM1753548v1 assembly for Selenomonadaceae bacterium"
"GCA_017537445.1"	"ASM1753744v1 assembly for Clostridia bacterium"
"GCA_017537515.1"	"ASM1753751v1 assembly for Clostridia bacterium"
"GCA_017537545.1"	"ASM1753754v1 assembly for Rikenellaceae bacterium"
"GCA_017537565.1"	"ASM1753756v1 assembly for Flavobacteriales bacterium"
"GCA_017537585.1"	"ASM1753758v1 assembly for Bacillota bacterium"
"GCA_017537605.1"	"ASM1753760v1 assembly for Clostridia bacterium"
"GCA_017537625.1"	"ASM1753762v1 assembly for Clostridia bacterium"
"GCA_017537635.1"	"ASM1753763v1 assembly for Bacteroidaceae bacterium"
"GCA_017537665.1"	"ASM1753766v1 assembly for Prevotella sp."
"GCA_017537745.1"	"ASM1753774v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017537765.1"	"ASM1753776v1 assembly for Lachnospiraceae bacterium"
"GCA_017551845.1"	"ASM1755184v1 assembly for Bacteroidaceae bacterium"
"GCA_017551875.1"	"ASM1755187v1 assembly for Butyrivibrio sp."
"GCA_017551925.1"	"ASM1755192v1 assembly for Bacteroidaceae bacterium"
"GCA_017551965.1"	"ASM1755196v1 assembly for Actinomycetaceae bacterium"
"GCA_017552005.1"	"ASM1755200v1 assembly for Pseudobutyrivibrio sp."
"GCA_017552045.1"	"ASM1755204v1 assembly for Prevotella sp."
"GCA_017552075.1"	"ASM1755207v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017552125.1"	"ASM1755212v1 assembly for Lachnospiraceae bacterium"
"GCA_017552145.1"	"ASM1755214v1 assembly for bacterium"
"GCA_017552175.1"	"ASM1755217v1 assembly for Bacilli bacterium"
"GCA_017552225.1"	"ASM1755222v1 assembly for Clostridia bacterium"
"GCA_017552265.1"	"ASM1755226v1 assembly for Bacilli bacterium"
"GCA_017552325.1"	"ASM1755232v1 assembly for Oscillospiraceae bacterium"
"GCA_017552345.1"	"ASM1755234v1 assembly for Bacteroidales bacterium"
"GCA_017553385.1"	"ASM1755338v1 assembly for Clostridia bacterium"
"GCA_017553405.1"	"ASM1755340v1 assembly for Bacteroidales bacterium"
"GCA_017553425.1"	"ASM1755342v1 assembly for Bacteroidales bacterium"
"GCA_017553445.1"	"ASM1755344v1 assembly for Methanobrevibacter sp."
"GCA_017553465.1"	"ASM1755346v1 assembly for Bacteroidaceae bacterium"
"GCA_017553485.1"	"ASM1755348v1 assembly for Verrucomicrobiota bacterium"
"GCA_017553605.1"	"ASM1755360v1 assembly for Prevotella sp."
"GCA_017553625.1"	"ASM1755362v1 assembly for Bacteroidales bacterium"
"GCA_017553635.1"	"ASM1755363v1 assembly for Treponema sp."
"GCA_017553725.1"	"ASM1755372v1 assembly for Lachnospiraceae bacterium"
"GCA_017553735.1"	"ASM1755373v1 assembly for Clostridia bacterium"
"GCA_017553765.1"	"ASM1755376v1 assembly for Bacteroidales bacterium"
"GCA_017553785.1"	"ASM1755378v1 assembly for Muribaculaceae bacterium"
"GCA_017553805.1"	"ASM1755380v1 assembly for Prevotella sp."
"GCA_017553815.1"	"ASM1755381v1 assembly for Clostridia bacterium"
"GCA_017555165.1"	"ASM1755516v1 assembly for Alistipes sp."
"GCA_017555185.1"	"ASM1755518v1 assembly for Bacteroidales bacterium"
"GCA_017555205.1"	"ASM1755520v1 assembly for Akkermansia sp."
"GCA_017555225.1"	"ASM1755522v1 assembly for Oscillospiraceae bacterium"
"GCA_017555245.1"	"ASM1755524v1 assembly for Clostridia bacterium"
"GCA_017555265.1"	"ASM1755526v1 assembly for Spirochaetaceae bacterium"
"GCA_017555285.1"	"ASM1755528v1 assembly for Clostridia bacterium"
"GCA_017555305.1"	"ASM1755530v1 assembly for Anaerotignum sp."
"GCA_017555325.1"	"ASM1755532v1 assembly for Alphaproteobacteria bacterium"
"GCA_017555345.1"	"ASM1755534v1 assembly for Bacteroidaceae bacterium"
"GCA_017555365.1"	"ASM1755536v1 assembly for Bacteroidaceae bacterium"
"GCA_017555385.1"	"ASM1755538v1 assembly for Mailhella sp."
"GCA_017555395.1"	"ASM1755539v1 assembly for Oscillospiraceae bacterium"
"GCA_017555405.1"	"ASM1755540v1 assembly for Alphaproteobacteria bacterium"
"GCA_017555445.1"	"ASM1755544v1 assembly for Bacteroidales bacterium"
"GCA_017555525.1"	"ASM1755552v1 assembly for Alistipes sp."
"GCA_017555545.1"	"ASM1755554v1 assembly for Alistipes sp."
"GCA_017555565.1"	"ASM1755556v1 assembly for Oscillospiraceae bacterium"
"GCA_017555695.1"	"ASM1755569v1 assembly for Alistipes sp."
"GCA_017555725.1"	"ASM1755572v1 assembly for Alistipes sp."
"GCA_017555745.1"	"ASM1755574v1 assembly for Bacteroidales bacterium"
"GCA_017616295.1"	"ASM1761629v1 assembly for Bacteroidales bacterium"
"GCA_017616305.1"	"ASM1761630v1 assembly for Verrucomicrobiota bacterium"
"GCA_017616335.1"	"ASM1761633v1 assembly for Bacteroidales bacterium"
"GCA_017616345.1"	"ASM1761634v1 assembly for Abditibacteriota bacterium"
"GCA_017616355.1"	"ASM1761635v1 assembly for Treponema sp."
"GCA_017616395.1"	"ASM1761639v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017616415.1"	"ASM1761641v1 assembly for Elusimicrobiales bacterium"
"GCA_017616435.1"	"ASM1761643v1 assembly for Clostridia bacterium"
"GCA_017616445.1"	"ASM1761644v1 assembly for Bacteroidaceae bacterium"
"GCA_017616475.1"	"ASM1761647v1 assembly for Bacteroidales bacterium"
"GCA_017616495.1"	"ASM1761649v1 assembly for Clostridia bacterium"
"GCA_017616505.1"	"ASM1761650v1 assembly for Lachnospiraceae bacterium"
"GCA_017616675.1"	"ASM1761667v1 assembly for Bacteroidales bacterium"
"GCA_017616695.1"	"ASM1761669v1 assembly for Clostridia bacterium"
"GCA_017616705.1"	"ASM1761670v1 assembly for Clostridia bacterium"
"GCA_017616735.1"	"ASM1761673v1 assembly for Bacteroidales bacterium"
"GCA_017616745.1"	"ASM1761674v1 assembly for Clostridiales bacterium"
"GCA_017616775.1"	"ASM1761677v1 assembly for Bacteroidales bacterium"
"GCA_017616785.1"	"ASM1761678v1 assembly for Alphaproteobacteria bacterium"
"GCA_017616815.1"	"ASM1761681v1 assembly for Bacteroidales bacterium"
"GCA_017616855.1"	"ASM1761685v1 assembly for Clostridia bacterium"
"GCA_017616875.1"	"ASM1761687v1 assembly for Bacteroidaceae bacterium"
"GCA_017622495.1"	"ASM1762249v1 assembly for Bacteroidaceae bacterium"
"GCA_017622555.1"	"ASM1762255v1 assembly for Clostridia bacterium"
"GCA_017622585.1"	"ASM1762258v1 assembly for Oscillospiraceae bacterium"
"GCA_017622605.1"	"ASM1762260v1 assembly for Agathobacter sp."
"GCA_017622635.1"	"ASM1762263v1 assembly for Ruminococcus sp."
"GCA_017622655.1"	"ASM1762265v1 assembly for Bacilli bacterium"
"GCA_017622675.1"	"ASM1762267v1 assembly for Clostridia bacterium"
"GCA_017622755.1"	"ASM1762275v1 assembly for Anaerotignum sp."
"GCA_017622775.1"	"ASM1762277v1 assembly for Methanobrevibacter sp."
"GCA_017622795.1"	"ASM1762279v1 assembly for Lachnospiraceae bacterium"
"GCA_017622815.1"	"ASM1762281v1 assembly for Bacteroidaceae bacterium"
"GCA_017622825.1"	"ASM1762282v1 assembly for Clostridia bacterium"
